"","longitude","latitude","price","region","xgrid","est_price"
"4811",-118.40452,34.02615,70,"Westside",-118.405780401338,163.12858229958
"4812",-118.28457,34.0362,86,"South L.A.",-118.284454983278,123.719430115868
"4813",-118.28506,34.03267,147,"South L.A.",-118.284454983278,123.719430115868
"4814",-118.33375,34.10429,37,"Central L.A.",-118.332985150502,141.390127383678
"4815",-118.3255,34.07543,169,"Central L.A.",-118.324896789298,134.362492396433
"4816",-118.47302,34.01997,114,"Westside",-118.473183411371,188.822695487647
"4817",-118.47065,33.98607,255,"Westside",-118.47048729097,189.232477019274
"4818",-118.27878,34.04768,100,"Central L.A.",-118.279062742475,129.733970675488
"4819",-118.27829,34.04722,85,"Central L.A.",-118.279062742475,129.733970675488
"4820",-118.29837,34.0488,90,"Central L.A.",-118.297935585284,114.503934492473
"4821",-118.27962,34.04656,95,"Central L.A.",-118.279062742475,129.733970675488
"4822",-118.8657,34.03808,731,"Santa Monica Mountains",-118.866816989967,337.291862449334
"4823",-118.5026,34.02639,120,"Westside",-118.502840735786,179.857033445769
"4824",-118.38664,34.08056,125,"Central L.A.",-118.386907558528,176.959816463072
"4825",-118.31456,34.11378,115,"Central L.A.",-118.314112307692,123.126791503837
"4826",-118.27239,34.05188,135,"Central L.A.",-118.273670501672,135.402958838509
"4827",-118.3703,34.07891,129,"Central L.A.",-118.37073083612,171.781892378976
"4828",-118.48444,34.01206,96,"Westside",-118.483967892977,185.204929195224
"4829",-118.40906,34.01478,225,"Westside",-118.408476521739,160.896071417492
"4830",-118.3826,34.07111,125,"Central L.A.",-118.381515317726,177.306089393316
"4831",-118.41884,34.01433,45,"Westside",-118.419261003344,156.899243754525
"4832",-118.47316,33.98947,200,"Westside",-118.473183411371,188.822695487647
"4833",-118.38846,34.06924,169,"Westside",-118.38960367893,175.991269397961
"4834",-118.29088,34.05932,63,"Central L.A.",-118.28984722408,118.505042942619
"4835",-118.47658,33.99792,120,"Westside",-118.475879531773,188.174848855565
"4836",-118.37774,34.05873,68,"Westside",-118.378819197324,176.657720553744
"4837",-118.35582,34.06742,178,"Central L.A.",-118.354554113712,156.590043146206
"4838",-118.3077,34.10211,72,"Central L.A.",-118.30872006689,118.266931345437
"4839",-118.44848,33.99712,70,"Westside",-118.448918327759,181.469927418946
"4840",-118.37263,34.09336,84,"Central L.A.",-118.373426956522,173.834066919536
"4841",-118.25766,34.09652,231,"Central L.A.",-118.257493779264,144.054919693626
"4842",-118.41753,33.99758,80,"Westside",-118.416564882943,156.965693407094
"4843",-118.63197,34.11729,80,"Santa Monica Mountains",-118.63225451505,339.583062461152
"4844",-118.17588,34.05315,49,"Eastside",-118.176610167224,101.481070949576
"4845",-118.58862,34.09208,100,"Santa Monica Mountains",-118.589116588629,274.858206094011
"4846",-118.32998,34.03464,140,"South L.A.",-118.3302890301,139.256721807929
"4847",-118.30433,34.10424,95,"Central L.A.",-118.303327826087,115.154289523109
"4848",-118.46726,33.99648,153,"Westside",-118.467791170569,189.374006265361
"4849",-118.39028,34.03528,89,"Westside",-118.38960367893,175.991269397961
"4850",-118.3194,34.10804,54,"Central L.A.",-118.319504548495,128.790291379342
"4851",-118.31855,34.11321,350,"Central L.A.",-118.319504548495,128.790291379342
"4852",-118.46304,33.97865,225,"Westside",-118.462398929766,188.758559601514
"4853",-118.49118,34.02555,125,"Westside",-118.492056254181,181.844007177368
"4854",-118.34599,34.09988,26,"Central L.A.",-118.346465752508,150.400891662143
"4855",-118.46389,33.97801,150,"Westside",-118.465095050167,189.222603137789
"4856",-118.41939,34.05647,699,"Westside",-118.419261003344,156.899243754525
"4857",-118.34548,34.10017,27,"Central L.A.",-118.346465752508,150.400891662143
"4858",-118.34591,34.10088,26,"Central L.A.",-118.346465752508,150.400891662143
"4859",-118.3448,34.10109,26,"Central L.A.",-118.343769632107,148.616382566372
"4860",-118.27871,34.0966,80,"Central L.A.",-118.279062742475,129.733970675488
"4861",-118.31829,34.10622,75,"Central L.A.",-118.319504548495,128.790291379342
"4862",-118.44465,33.98468,68,"Westside",-118.443526086957,176.467523332254
"4863",-118.4974,34.03337,199,"Westside",-118.497448494983,180.271272844013
"4864",-118.35765,34.02527,275,"South L.A.",-118.357250234114,159.001307505173
"4865",-118.35742,34.01703,65,"South L.A.",-118.357250234114,159.001307505173
"4866",-118.25156,34.0458,85,"Central L.A.",-118.252101538462,143.756498814525
"4867",-118.50113,34.01955,110,"Westside",-118.500144615385,179.888978898638
"4868",-118.35848,34.08881,325,"Central L.A.",-118.357250234114,159.001307505173
"4869",-118.38374,34.0603,100,"Westside",-118.384211438127,177.406167366144
"4870",-118.34599,34.09988,30,"Central L.A.",-118.346465752508,150.400891662143
"4871",-118.36637,34.0792,96,"Central L.A.",-118.365338595318,166.860338461898
"4872",-118.34599,34.09988,31,"Central L.A.",-118.346465752508,150.400891662143
"4873",-118.31242,33.99698,83,"South L.A.",-118.311416187291,120.535243910334
"4874",-118.44482,34.05304,50,"Westside",-118.443526086957,176.467523332254
"4875",-118.32512,34.06069,75,"Central L.A.",-118.324896789298,134.362492396433
"4876",-118.38564,34.03656,124,"Central L.A.",-118.386907558528,176.959816463072
"4877",-118.77906,34.11352,195,"Santa Monica Mountains",-118.777845016722,247.29021712745
"4878",-118.4684,34.00321,152,"Westside",-118.467791170569,189.374006265361
"4879",-118.3363,34.08293,115,"Central L.A.",-118.335681270903,143.339666199466
"4880",-118.34565,34.0644,110,"Central L.A.",-118.346465752508,150.400891662143
"4881",-118.25554,34.0992,225,"Central L.A.",-118.254797658863,144.090938121457
"4882",-118.41471,34.01276,50,"Westside",-118.413868762542,157.695929817274
"4883",-118.45495,33.99305,116,"Westside",-118.454310568562,185.373782992951
"4884",-118.42957,33.98982,255,"Westside",-118.43004548495,162.669671101762
"4885",-118.60114,34.08289,221,"Santa Monica Mountains",-118.599901070234,275.262064057049
"4886",-118.47378,33.98795,150,"Westside",-118.473183411371,188.822695487647
"4887",-118.2657,34.08687,98,"Central L.A.",-118.265582140468,141.555212346078
"4888",-118.38283,34.05726,219,"Westside",-118.381515317726,177.306089393316
"4889",-118.38007,34.08758,85,"Central L.A.",-118.378819197324,176.657720553744
"4890",-118.30701,34.104,76,"Central L.A.",-118.306023946488,116.439053010606
"4891",-118.54587,34.04057,80,"Westside",-118.545978662207,260.439479345155
"4892",-118.44999,34.06685,25,"Westside",-118.448918327759,181.469927418946
"4893",-118.32052,34.03392,104,"South L.A.",-118.319504548495,128.790291379342
"4894",-118.42203,33.97421,159,"Westside",-118.421957123746,157.496393158718
"4895",-118.44886,33.99821,139,"Westside",-118.448918327759,181.469927418946
"4896",-118.45888,33.97745,182,"Westside",-118.459702809365,187.967174176758
"4897",-118.45998,33.97764,223,"Westside",-118.459702809365,187.967174176758
"4898",-118.46025,33.97751,182,"Westside",-118.459702809365,187.967174176758
"4899",-118.45981,33.97683,290,"Westside",-118.459702809365,187.967174176758
"4900",-118.35168,34.09885,80,"Central L.A.",-118.351857993311,154.355320537339
"4901",-118.18207,34.04538,75,"Eastside",-118.182002408027,100.792965997239
"4902",-118.30048,34.05178,60,"Central L.A.",-118.300631705686,114.49264444588
"4903",-118.74348,34.03233,900,"Santa Monica Mountains",-118.742795451505,335.149868353583
"4904",-118.39569,34.05979,199,"Westside",-118.394995919732,172.68508334418
"4905",-118.72772,34.03406,175,"Santa Monica Mountains",-118.726618729097,337.857418442429
"4906",-118.35485,33.98589,55,"South L.A.",-118.354554113712,156.590043146206
"4907",-118.32983,34.10956,147,"Central L.A.",-118.3302890301,139.256721807929
"4908",-118.1928,34.05432,64,"Eastside",-118.192786889632,99.0922690103027
"4909",-118.46193,33.98559,520,"Westside",-118.462398929766,188.758559601514
"4910",-118.41926,34.01304,72,"Westside",-118.419261003344,156.899243754525
"4911",-118.34754,34.12048,215,"Central L.A.",-118.346465752508,150.400891662143
"4912",-118.50289,34.02716,85,"Westside",-118.502840735786,179.857033445769
"4913",-118.17439,34.05483,100,"Eastside",-118.173914046823,101.709944546183
"4914",-118.29623,34.06737,25,"Central L.A.",-118.295239464883,115.201477946113
"4915",-118.28103,34.05406,29,"Central L.A.",-118.281758862876,126.702422805363
"4916",-118.4705,34.04468,190,"Westside",-118.47048729097,189.232477019274
"4917",-118.66674,34.04351,325,"Santa Monica Mountains",-118.667304080268,355.374868113297
"4918",-118.32508,34.09952,149,"Central L.A.",-118.324896789298,134.362492396433
"4919",-118.47614,33.98887,150,"Westside",-118.475879531773,188.174848855565
"4920",-118.35431,34.03674,130,"Central L.A.",-118.354554113712,156.590043146206
"4921",-118.4061,34.05866,75,"Westside",-118.405780401338,163.12858229958
"4922",-118.3555,34.06323,169,"Central L.A.",-118.354554113712,156.590043146206
"4923",-118.46482,33.98127,187,"Westside",-118.465095050167,189.222603137789
"4924",-118.24519,34.08927,165,"Central L.A.",-118.244013177258,140.689267730155
"4925",-118.31341,34.11499,250,"Central L.A.",-118.314112307692,123.126791503837
"4926",-118.28227,34.09013,209,"Central L.A.",-118.281758862876,126.702422805363
"4927",-118.52811,34.04617,115,"Westside",-118.527105819398,202.934448182955
"4928",-118.31879,34.09969,52,"Central L.A.",-118.319504548495,128.790291379342
"4929",-118.39081,34.06964,165,"Westside",-118.38960367893,175.991269397961
"4930",-118.29261,34.07672,95,"Central L.A.",-118.292543344482,116.558000754517
"4931",-118.27887,34.07846,99,"Central L.A.",-118.279062742475,129.733970675488
"4932",-118.44345,34.03115,165,"Westside",-118.443526086957,176.467523332254
"4933",-118.38106,34.06382,149,"Westside",-118.381515317726,177.306089393316
"4934",-118.41501,33.99726,90,"Westside",-118.413868762542,157.695929817274
"4935",-118.46803,33.99585,296,"Westside",-118.467791170569,189.374006265361
"4936",-118.25344,34.08573,215,"Central L.A.",-118.252101538462,143.756498814525
"4937",-118.3912,34.07389,180,"Westside",-118.392299799331,174.545020972037
"4938",-118.45331,33.98452,575,"Westside",-118.454310568562,185.373782992951
"4939",-118.24967,34.05984,150,"Central L.A.",-118.24940541806,143.068879413705
"4940",-118.31272,34.08678,79,"Central L.A.",-118.311416187291,120.535243910334
"4941",-118.43179,34.06336,179,"Westside",-118.432741605351,165.202127686438
